converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3	p_value	converted_entrez_id
ENSG00000117614	51.61	52.35	52.89	45.2	48.74	46.64	0.0076889368986702	25949
ENSG00000187010	0.1449	0.06795	0.1253	0.03624	0.05415	0.03717	0.0420442063774772	6007
ENSG00000117643	0.289	0.366	0.2946	0.1041	0.1815	0.1691	0.0087673780227836	57134
ENSG00000117682	11.19	12.0	12.37	12.86	13.14	13.67	0.0314103298840309	79947
ENSG00000090273	42.2	39.09	39.52	48.13	43.59	45.73	0.027353886659295	10726
ENSG00000158246	6.752	8.835	7.519	6.427	5.294	5.019	0.046544011057872	115572
ENSG00000158195	54.05	53.9	50.95	47.65	49.52	46.77	0.0182739872477775	10163
ENSG00000126709	3.344	6.626	1.739	15.6	17.83	24.46	0.0070333618193265	2537
ENSG00000169403	21.91	20.09	20.45	27.06	25.41	26.62	0.0017263451162781	5724
ENSG00000175130	40.43	38.43	38.35	48.47	43.68	47.39	0.0096928192943174	65108
ENSG00000116497	3.587	3.345	3.745	2.844	3.14	2.812	0.0159775316213877	64766
ENSG00000284154	27.46	20.7	19.44	32.39	28.6	35.23	0.0386370192386819	100500853
ENSG00000189433	7.456	7.326	7.462	10.59	8.568	8.808	0.0406021516620322	127534
ENSG00000188910	30.36	28.86	30.56	39.8	33.24	39.76	0.0268326379107415	2707
ENSG00000163866	4.816	4.495	5.038	5.201	5.795	5.567	0.0344047493002588	113444
ENSG00000142686	2.796	3.132	3.014	2.712	2.315	2.517	0.0367622763816863	127703
ENSG00000116885	2.41	2.88	2.508	3.231	3.139	2.946	0.0380746680918215	127700
ENSG00000163874	7.963	9.537	8.016	31.52	23.04	24.38	0.0026703569387143	80149
ENSG00000183386	5.64	5.143	6.165	6.436	6.411	6.764	0.0484598524258963	2275
ENSG00000185668	0.1323	0.1164	0.1405	0.07447	0.0	0.05093	0.0189614837416281	5453
ENSG00000116990	3.047	3.259	3.264	2.459	2.283	2.024	0.0029938538224602	4610
ENSG00000168389	9.425	10.85	10.67	16.63	13.05	12.98	0.038510251348531	84879
ENSG00000117016	0.3972	0.326	0.3936	0.2881	0.2672	0.299	0.0247875673345202	9783
ENSG00000171793	13.59	12.41	14.1	15.54	16.48	16.36	0.0089755484955771	1503
ENSG00000117394	151.0	163.5	151.8	147.0	129.2	126.3	0.0494252566463054	6513
ENSG00000253313	3.228	3.202	4.13	2.671	2.224	2.365	0.0296742215496355	149466
ENSG00000066322	50.04	44.16	45.27	56.25	56.0	57.2	0.0055794731462185	64834
ENSG00000198198	3.942	4.156	4.075	5.072	4.757	4.9	0.0015165063393845	23334
ENSG00000178922	7.074	6.609	6.523	9.388	8.624	8.505	0.0029453573649976	81888
ENSG00000173846	7.388	7.697	6.432	10.79	8.894	8.777	0.0375004132967694	1263
ENSG00000126107	15.9	15.73	15.62	18.15	17.34	17.47	0.0019630831575505	79654
ENSG00000278139	2.886	2.992	3.803	2.364	2.471	2.262	0.043613200517016	110117499
ENSG00000123472	13.58	12.54	13.66	9.85	10.36	12.1	0.0319549270809403	64756
ENSG00000162366	3.511	3.541	2.043	17.22	13.04	14.21	0.0009189106893236	10158
ENSG00000123091	18.87	22.45	22.81	15.85	18.15	17.41	0.0412360243867837	26994
ENSG00000134744	8.738	8.317	8.469	6.622	7.644	6.783	0.0118431445638702	23318
ENSG00000116171	32.27	31.0	32.71	20.64	25.84	25.51	0.0104167379442693	6342
ENSG00000157184	13.81	12.88	11.51	10.09	10.59	10.72	0.0310463719916407	1376
ENSG00000162407	2.078	2.403	1.895	1.372	1.792	1.592	0.0480306878017069	8613
ENSG00000187889	0.03299	0.02321	0.0467	0.01238	0.0	0.0	0.0192975585041808	199920
ENSG00000021852	0.2199	0.2321	0.1557	0.1375	0.1096	0.04702	0.0430338225381656	732
ENSG00000203965	1.791	2.05	2.028	1.063	1.351	1.09	0.0031113569561136	84455
ENSG00000223949	0.0	0.0	0.0	0.0213	0.02122	0.02914	0.0008109425686344	101927034
ENSG00000116729	17.93	18.05	17.69	13.07	14.58	13.88	0.0008388480650504	79971
ENSG00000116761	0.8135	0.787	0.8638	0.6258	0.6538	0.7411	0.0233153157093503	1491
ENSG00000254685	1.509	1.534	1.833	0.9352	1.071	1.236	0.0159283367566578	8790
ENSG00000142892	4.206	4.424	4.577	3.983	3.872	3.829	0.0122671975685044	10026
ENSG00000137960	0.1675	0.1591	0.1186	0.03772	0.09393	0.02579	0.0206952875484391	54810
ENSG00000137959	0.2652	0.8511	0.219	1.667	2.218	2.734	0.0088359053789496	10964
ENSG00000137965	2.271	2.664	2.349	4.07	4.611	4.451	0.000625992787511	10561
ENSG00000142875	1.352	1.447	1.757	1.033	0.9206	0.9479	0.0121891340211362	5567
ENSG00000171517	10.53	11.48	11.73	8.325	9.064	10.01	0.0256238258469561	23566
ENSG00000153898	0.2568	0.265	0.2343	0.2056	0.1792	0.1714	0.0085377791777736	255231
ENSG00000055732	2.824	3.484	3.401	2.054	2.499	1.966	0.0159881735347795	55283
ENSG00000162643	2.079	2.445	2.591	1.365	1.506	1.826	0.0169206323689638	126820
ENSG00000097096	0.391	0.428	0.3434	0.2446	0.2436	0.2369	0.0040672205301776	84144
ENSG00000137975	61.36	62.85	67.6	41.61	44.79	40.54	0.0006821929941515	9635
ENSG00000016602	4.444	3.73	3.903	3.047	3.171	2.985	0.0124721591976885	22802
ENSG00000236915	2.248	1.779	1.818	1.401	1.485	1.529	0.0370131850475652	105378828
ENSG00000143013	3.086	3.066	3.464	2.718	2.548	1.988	0.0369724622638608	8543
ENSG00000154451	0.1291	0.3066	0.07997	0.7268	0.4525	0.6212	0.0153279751983134	115362
ENSG00000183347	22.57	22.74	23.14	15.15	17.29	18.47	0.0040574755969386	163351
ENSG00000137936	12.51	11.85	12.44	13.92	12.95	14.3	0.0324511889508976	8412
ENSG00000023909	5.507	5.747	5.5	4.955	5.246	4.984	0.0131778377462118	2730
ENSG00000117525	264.7	253.2	256.0	314.7	342.3	338.9	0.0013810238171532	2152
ENSG00000143036	3.51	3.589	3.662	2.831	3.145	2.632	0.0099481074748506	126969
ENSG00000099260	10.2	10.58	10.79	6.212	8.136	7.084	0.0043880291474824	54873
ENSG00000156875	13.69	14.21	16.02	11.55	12.16	11.2	0.0167793655505058	64645
ENSG00000162694	1.169	1.421	1.666	0.883	0.7634	0.8032	0.0151466641586741	2135
ENSG00000170989	0.6272	0.6391	0.5664	0.3896	0.3881	0.5078	0.016127681139775	1901
ENSG00000134215	1.752	2.055	2.33	1.148	1.336	1.23	0.0100281920467232	10451
ENSG00000121957	3.774	3.243	4.604	2.637	2.888	2.68	0.0477480640107297	29899
ENSG00000031698	46.71	41.11	42.79	48.96	47.67	48.87	0.0440390951577192	6301
ENSG00000134222	3.925	3.461	3.857	2.209	2.664	3.141	0.0243791631986971	84722
ENSG00000134243	8.294	8.744	8.122	6.858	6.813	7.076	0.0019052839552369	6272
ENSG00000174151	3.324	3.692	3.17	2.639	2.537	2.626	0.0073580481154902	284613
ENSG00000134184	4.352	3.629	4.183	3.145	3.133	3.019	0.012600313059383	2944
ENSG00000116473	7.068	6.22	6.234	5.225	5.702	5.731	0.0424325269421236	5906
ENSG00000197852	2.987	2.648	2.62	1.728	1.884	2.375	0.0294312424043645	55924
ENSG00000284830	0.09452	0.1746	0.1004	0.0532	0.053	0.03638	0.0455057573886269	101928718
ENSG00000007341	1.797	1.629	1.665	1.128	1.476	1.427	0.0423570811552613	54879
ENSG00000116774	0.1938	0.2045	0.1959	0.3739	0.3104	0.3729	0.0019106664422523	56944
ENSG00000177551	0.7609	1.046	0.9482	0.687	0.5422	0.4668	0.028828836049914	4808
ENSG00000173212	0.6443	0.6611	0.7221	0.3425	0.3814	0.5098	0.0090242132504487	126868
ENSG00000163399	47.63	47.61	45.72	40.62	43.44	42.22	0.0090684859031905	476
ENSG00000134258	4.381	3.101	3.681	1.965	1.838	1.46	0.0079427072242511	79679
ENSG00000198162	5.279	5.829	6.251	4.124	4.746	4.719	0.0223212274706022	10905
ENSG00000134250	15.64	16.16	15.88	15.19	15.35	15.36	0.0206986844790982	4853
ENSG00000290869	0.05715	0.1206	0.08091	0.0	0.0	0.022	0.0166412430557178	101927429
ENSG00000288905	0.7702	0.7677	0.8178	0.7225	0.6718	0.6259	0.0257881725010876	107985200
ENSG00000288905	0.7702	0.7677	0.8178	0.7225	0.6718	0.6259	0.0257881725010876	100996732
ENSG00000288905	0.7702	0.7677	0.8178	0.7225	0.6718	0.6259	0.0257881725010876	645166
ENSG00000291150	0.7702	0.7677	0.8178	0.7225	0.6718	0.6259	0.0257881725010876	645166
ENSG00000291150	0.7702	0.7677	0.8178	0.7225	0.6718	0.6259	0.0257881725010876	107985911
ENSG00000186141	4.841	4.845	4.644	4.166	4.509	4.3	0.0196232278588712	10623
ENSG00000207340	0.3987	0.0	0.0	1.346	0.8942	0.6138	0.0311773033535815	101954273
ENSG00000178104	2.519	2.52	2.383	1.995	2.241	2.096	0.0127286142896356	9659
ENSG00000203814	0.4902	0.4527	0.6072	0.3449	0.4123	0.3066	0.0440130364137127	440689
ENSG00000184270	0.1459	0.0	0.0	0.1643	0.3273	0.2247	0.049078944732215	317772
ENSG00000023902	1.017	1.009	1.051	1.214	1.3	1.096	0.0425648486703493	51177
ENSG00000213190	24.88	22.15	25.57	29.41	26.75	31.56	0.0442268911297638	10962
ENSG00000143390	18.96	18.69	18.83	20.43	20.61	19.63	0.0109115502276408	5993
ENSG00000182134	2.86	2.703	3.036	2.247	2.605	2.264	0.0307768303817009	11022
ENSG00000182898	0.2176	0.2488	0.3465	0.1021	0.122	0.1396	0.0205697302010949	126637
ENSG00000237975	0.9952	1.484	1.487	0.7824	0.6377	0.8573	0.0327687759352799	339400
ENSG00000169509	4.443	5.359	5.617	9.022	7.474	12.67	0.0441818706606374	54544
ENSG00000163207	34.83	43.71	39.53	80.34	58.34	88.7	0.0179642144868399	3713
ENSG00000224308	0.03211	0.0	0.0	0.1085	0.07202	0.09889	0.0057230828351605	101927988
ENSG00000169474	15.41	16.47	14.75	24.46	18.72	27.71	0.0390668925088093	6698
ENSG00000163216	8.3	6.91	7.507	62.6	38.26	62.3	0.0043994335313393	6703
ENSG00000241794	18.64	27.11	21.53	84.04	60.0	84.46	0.0031439382334386	6700
ENSG00000196805	1.25	2.74	1.974	15.37	6.577	10.1	0.0284184439031554	6701
ENSG00000203785	1.348	1.626	1.363	12.14	7.127	9.6	0.0048677286946063	6704
ENSG00000244094	0.0835	0.0	0.05911	0.752	0.6555	0.5785	0.0003913779386479	6705
ENSG00000163218	0.6349	0.6569	0.705	2.256	2.303	2.175	3.2016280830101537e-06	57115
ENSG00000163220	738.7	792.8	821.3	1807.0	1543.0	1591.0	0.0005239906261233	6280
ENSG00000163221	3.505	3.983	4.103	6.829	7.559	10.74	0.0205545073420742	6283
ENSG00000143546	69.25	58.74	51.0	197.1	212.4	220.2	6.310423704170203e-05	6279
ENSG00000184330	0.01528	0.01612	0.0	0.1032	0.05139	0.08232	0.0126579000048746	338324
ENSG00000143556	0.3048	0.1608	0.0	2.402	2.393	3.051	0.0004702828926141	6278
ENSG00000143553	10.25	9.904	10.25	8.956	7.806	8.708	0.0110768456692289	23557
ENSG00000160712	4.306	5.335	5.061	3.399	3.288	2.91	0.007575672522811	3570
ENSG00000169291	0.977	1.351	1.23	0.8144	0.8043	0.595	0.0269929735731744	126669
ENSG00000163346	18.45	18.16	16.81	16.27	16.16	14.55	0.0460475636041468	57326
ENSG00000169242	35.85	37.97	34.5	63.36	57.31	54.19	0.0015195835644334	1942
ENSG00000160752	96.39	81.96	88.39	108.0	114.7	126.7	0.0160693433537911	2224
ENSG00000225855	23.96	22.9	21.15	29.55	31.61	35.08	0.0065167097909228	284618
ENSG00000283701	4.086	3.594	4.339	6.9	5.346	5.767	0.0176191746221669	693140
ENSG00000116584	5.389	5.273	5.257	6.551	6.285	6.476	0.000225203471966	9181
ENSG00000285677	4.11	3.9	4.084	4.457	4.736	4.398	0.0155652766128216	105371729
ENSG00000260238	10.97	11.37	10.59	10.37	9.229	9.705	0.0391693344513996	100527963
ENSG00000143319	13.98	12.44	13.26	15.45	16.3	16.95	0.0084236957121413	81875
ENSG00000143321	132.2	126.4	137.1	163.4	170.1	174.3	0.0010832696962827	3068
ENSG00000143294	17.19	17.26	18.65	19.15	18.94	19.81	0.042087614350162	5546
ENSG00000187800	2.28	2.438	2.424	2.852	2.625	2.831	0.0116700979013647	375033
ENSG00000183853	13.11	12.57	13.23	14.73	15.57	14.95	0.0028261988503718	55243
ENSG00000158710	434.5	400.1	410.6	462.4	454.4	498.1	0.0284025601184911	8407
ENSG00000162723	3.432	2.825	2.85	4.919	4.053	3.998	0.022855164614818	89886
ENSG00000162738	9.754	11.39	10.08	8.36	8.606	7.962	0.0171002100271746	57216
ENSG00000026751	6.355	5.841	5.854	3.103	3.941	4.471	0.0073106813833936	57823
ENSG00000143224	2.08	2.076	2.009	1.961	1.935	1.85	0.0264282461091198	5498
ENSG00000132196	3.922	4.583	4.065	2.878	3.26	3.518	0.0238044603337423	51478
ENSG00000185630	2.709	2.678	2.731	1.579	1.59	1.787	0.0001089781487563	5087
ENSG00000143183	18.38	17.54	17.24	16.82	16.16	16.15	0.0298881433501534	54499
ENSG00000143179	8.356	7.394	7.577	9.173	8.861	10.02	0.0257183667898873	7371
ENSG00000143162	19.16	21.13	21.32	15.85	16.35	14.11	0.0062255718656788	8804
ENSG00000143147	2.504	2.292	2.237	2.78	2.625	2.703	0.0181807943989549	23432
ENSG00000143153	39.6	37.36	42.9	49.52	52.38	46.46	0.0155146306370338	481
ENSG00000197959	0.09005	0.09292	0.1076	0.07434	0.05834	0.07933	0.0349028994243836	26052
ENSG00000076321	6.937	6.79	7.044	5.93	6.361	6.051	0.0054268341667639	27252
ENSG00000234741	118.5	114.5	126.1	101.1	102.9	109.3	0.0223142748584365	60674
ENSG00000185278	0.2539	0.2745	0.3068	0.244	0.1806	0.1939	0.0430005750537236	84614
ENSG00000152061	2.542	2.474	2.623	2.238	2.398	2.193	0.0234037329474615	9910
ENSG00000152092	0.005457	0.02304	0.01931	0.03072	0.03672	0.03151	0.0396882595272371	460
ENSG00000075391	3.761	3.439	3.774	3.121	3.411	3.149	0.0396374625231306	9462
ENSG00000057252	2.883	2.774	3.204	2.583	2.1	2.345	0.0324084230466854	6646
ENSG00000143337	12.71	11.95	13.27	11.57	11.12	11.56	0.0403423317363955	26092
ENSG00000230124	5.038	5.735	5.626	4.839	4.356	4.496	0.0254481260470978	84320
ENSG00000230124	5.038	5.735	5.626	4.839	4.356	4.496	0.0254481260470978	100527964
ENSG00000058085	851.1	770.4	902.7	979.2	1007.0	1047.0	0.0171864969081232	3918
ENSG00000116701	8.09	7.759	7.473	9.68	10.61	11.86	0.0109553482879757	4688
ENSG00000116667	2.706	2.661	2.959	1.895	2.301	2.218	0.0146213190608633	81563
ENSG00000135842	4.306	4.793	4.639	2.98	3.741	3.206	0.0089803371029278	116496
ENSG00000121481	3.616	3.624	3.775	2.87	3.223	2.814	0.0070365238443215	6045
ENSG00000047410	17.17	16.98	17.94	15.21	16.62	15.83	0.042475132765171	7175
ENSG00000073756	3.508	3.901	4.885	5.875	5.771	5.781	0.0140950981359917	5743
ENSG00000260088	0.7995	1.125	0.8803	1.3	1.395	1.573	0.0181691417915056	101929224
ENSG00000081277	68.69	68.75	70.66	62.13	58.93	62.54	0.0033896244040308	5317
ENSG00000159176	32.75	30.46	30.5	39.53	36.06	39.98	0.0073830246364544	1465
ENSG00000231871	3.106	3.196	2.858	3.759	3.831	3.766	0.0021190566548269	100873949
ENSG00000159348	48.51	53.15	51.87	58.65	55.49	54.72	0.0494274742981975	51706
ENSG00000143847	2.71	2.931	2.725	3.773	3.34	3.237	0.0209434615861787	8497
ENSG00000158615	5.747	6.284	6.59	5.299	5.448	5.501	0.0355966979440877	84919
ENSG00000133056	1.635	1.804	1.5	1.25	1.268	1.308	0.0143664001515631	5287
ENSG00000133069	1.106	1.167	1.221	1.071	0.827	0.7966	0.0456602980035477	9911
ENSG00000163545	6.324	5.611	6.074	8.295	6.631	7.59	0.0459839650892066	81788
ENSG00000174514	0.1772	0.17	0.1597	0.09069	0.1084	0.1116	0.0013707586671999	148808
ENSG00000133065	6.137	6.083	5.974	5.59	5.381	5.338	0.002346507168727	254428
ENSG00000174502	0.08105	0.0	0.0765	0.1369	0.1818	0.208	0.02133092657799	115019
ENSG00000276600	12.88	13.39	13.5	8.944	8.671	9.488	0.0001615737937402	338382
ENSG00000263528	4.263	4.595	3.83	7.465	6.21	6.03	0.0096438794869152	9641
ENSG00000266094	3.247	3.315	3.314	2.601	2.574	2.889	0.004264482576233	83593
ENSG00000123836	2.286	2.271	2.346	1.749	1.899	1.788	0.000633516940217	5208
ENSG00000076356	5.362	5.259	5.048	4.774	4.614	4.852	0.0147607175125016	5362
ENSG00000196878	324.2	329.6	309.7	450.1	374.2	387.8	0.026362356234201	3914
ENSG00000123689	116.6	121.5	134.6	241.9	178.0	226.6	0.0103099690378077	50486
ENSG00000117594	39.46	33.84	37.03	43.4	51.87	56.93	0.0308139781928591	3290
ENSG00000162757	9.227	10.72	9.94	12.6	12.29	11.26	0.0242470784340216	148304
ENSG00000082497	1.435	1.126	1.324	0.9044	1.004	1.087	0.0471837301230209	56256
ENSG00000054392	1.028	1.128	1.124	0.7947	0.8382	0.8711	0.002803704242761	55733
ENSG00000117625	4.015	4.142	3.821	3.539	3.344	3.768	0.0453882257680525	55758
ENSG00000174606	2.099	1.853	2.138	1.7	1.721	1.635	0.0206475087188816	90806
ENSG00000186205	0.5454	0.515	0.4572	0.4039	0.346	0.442	0.0462527871778642	64757
ENSG00000143507	7.377	7.531	6.744	4.86	4.572	4.752	0.0006172075242133	11221
ENSG00000238042	0.2161	0.5702	0.3825	0.0	0.0	0.0832	0.0269120824141991	105372950
ENSG00000143815	2.572	2.591	2.756	2.257	2.33	2.433	0.0181114444447429	3930
ENSG00000154429	1.365	1.282	1.527	1.13	1.185	1.19	0.0401499607827055	126731
ENSG00000143641	49.33	48.65	46.21	44.94	44.11	43.14	0.020808088732993	2590
ENSG00000143669	1.056	1.081	1.351	0.809	0.8451	0.8678	0.0284327468470607	1130
ENSG00000116962	1.016	1.274	1.006	0.5081	0.5062	0.3214	0.0036850779256768	4811
ENSG00000116977	11.88	12.86	13.59	10.17	10.83	10.11	0.0116534179296703	3964
ENSG00000130508	38.26	38.13	38.01	48.13	41.1	42.84	0.0495784291450244	7837
ENSG00000134317	8.435	8.322	8.933	9.769	10.4	9.815	0.0066256513017234	29841
ENSG00000172059	1.125	1.043	1.011	0.9241	0.9717	0.9128	0.0325463620084306	8462
ENSG00000162976	1.126	1.322	1.423	0.9841	1.031	1.006	0.0325632806604581	130814
ENSG00000071575	1.735	1.644	2.068	2.555	2.229	2.855	0.0301781702497676	28951
ENSG00000197872	2.536	2.77	3.449	1.937	1.563	2.189	0.0358944866908466	81553
ENSG00000163032	6.29	7.215	6.033	4.413	4.37	4.825	0.0069526410166801	7447
ENSG00000118965	1.883	2.213	2.088	1.577	1.623	1.835	0.0372974048043927	57539
ENSG00000227210	0.4548	0.42	0.2817	0.064	0.255	0.08754	0.0354442957321293	101928222
ENSG00000068697	86.46	94.02	94.29	81.58	82.83	86.14	0.0498379564265155	9741
ENSG00000055917	4.14	4.473	4.69	3.257	3.766	3.515	0.0132264806507117	23369
ENSG00000115129	16.45	17.34	17.18	17.81	18.37	18.45	0.0229873789041151	9540
ENSG00000119772	1.603	1.731	1.66	1.496	1.357	1.482	0.0189306163121086	1788
ENSG00000115163	1.829	2.075	2.007	1.132	1.025	0.8448	0.0009577410789029	1058
ENSG00000119777	22.24	20.8	21.87	23.04	22.79	23.87	0.0419718062675026	54867
ENSG00000115211	24.53	21.43	21.98	27.61	25.88	25.83	0.0276080067569326	8890
ENSG00000138002	1.24	1.201	1.004	0.851	0.9429	0.9154	0.034647641790627	26160
ENSG00000176714	0.4699	0.5195	0.396	0.2015	0.3262	0.3273	0.0325399257677755	79635
ENSG00000119760	9.518	9.739	10.44	8.447	8.98	9.232	0.0488024976516756	9913
ENSG00000229951	0.2982	0.3389	0.2436	0.155	0.2315	0.1766	0.0416264078129491	403150
ENSG00000172954	1.753	1.984	1.844	1.323	1.505	1.376	0.0059915364961905	253558
ENSG00000158125	5.167	4.457	4.664	7.203	8.02	7.997	0.0009526414194994	7498
ENSG00000143891	0.8967	0.9989	0.8815	0.701	0.5586	0.8149	0.0474138245809863	130589
ENSG00000115875	17.36	16.16	15.86	19.61	17.74	18.17	0.0482191573836151	6432
ENSG00000188010	20.91	23.65	19.17	13.51	15.14	17.08	0.0225912705987387	729967
ENSG00000223658	0.2045	0.2697	0.2171	0.1726	0.1147	0.09838	0.0276589580867683	728819
ENSG00000243244	0.708	0.6615	0.6244	0.2483	0.3775	0.2681	0.0014439628782165	11037
ENSG00000115239	3.49	3.613	4.125	2.52	3.249	2.889	0.040342565304923	51130
ENSG00000115239	3.49	3.613	4.125	2.52	3.249	2.889	0.040342565304923	100302652
ENSG00000170634	0.5961	0.7144	0.7367	0.455	0.4306	0.5484	0.0224002646162199	98
ENSG00000115306	58.98	56.0	56.01	62.96	60.58	61.54	0.0177622857903278	6711
ENSG00000085760	13.15	12.4	13.47	10.2	11.44	10.98	0.0113896864913021	4528
ENSG00000115421	3.274	3.811	4.077	2.687	3.015	3.115	0.043969225503921	64895
ENSG00000212978	3.426	2.914	2.824	1.9	2.409	2.559	0.0490037574328674	339803
ENSG00000170264	0.3781	0.6109	0.6105	0.3192	0.318	0.3092	0.0485386166838083	84140
ENSG00000115902	6.476	6.717	6.256	5.772	5.797	5.301	0.0147317330328855	6509
ENSG00000011523	1.627	1.739	2.025	1.437	1.463	1.428	0.0407955072709795	23177
ENSG00000236780	0.0	0.03286	0.0	0.0701	0.06983	0.0719	0.0055544805447743	644838
ENSG00000163219	0.9733	0.9855	1.192	1.407	1.372	1.554	0.0119974090318156	9938
ENSG00000115977	2.859	3.382	3.692	2.533	2.63	2.611	0.0424363905885407	22848
ENSG00000288869	0.09043	0.1432	0.1067	0.03393	0.0338	0.05221	0.0118391024227953	107985770
ENSG00000087338	2.304	2.306	2.672	2.075	1.983	2.002	0.0315097575186908	64395
ENSG00000244617	0.2703	0.1268	0.2338	0.1014	0.0	0.03468	0.0344694181527658	151516
ENSG00000116005	20.23	21.82	24.85	17.15	18.54	17.72	0.0335229111370922	51449
ENSG00000163235	19.9	17.33	17.98	21.32	23.22	25.01	0.0220828516250105	7039
ENSG00000124374	0.9327	0.8044	0.7951	0.6436	0.5849	0.6524	0.0115721844809771	400961
ENSG00000075292	15.49	16.32	18.42	13.92	13.67	14.38	0.0372307134750022	27332
ENSG00000144036	12.16	12.54	13.28	10.59	11.36	11.17	0.0157619288693418	23233
ENSG00000135624	151.0	124.3	140.2	158.8	163.4	167.5	0.0386187170408911	10574
ENSG00000284308	0.5802	0.8907	0.7094	0.3563	0.3253	0.4162	0.018430582974963	388963
ENSG00000115275	17.7	19.45	18.73	24.57	21.97	21.38	0.0220363130516195	7841
ENSG00000115318	0.5224	0.4438	0.4149	0.6455	0.5859	0.6523	0.0120621516545435	84695
ENSG00000159399	14.89	15.63	17.74	20.36	19.1	19.93	0.0163018957170709	3099
ENSG00000186854	0.1073	0.1617	0.1518	0.2587	0.2749	0.3008	0.0026593520267464	129293
ENSG00000186854	0.1073	0.1617	0.1518	0.2587	0.2749	0.3008	0.0026593520267464	105374836
ENSG00000115525	1.043	1.028	1.228	1.354	1.485	1.626	0.0186362507725427	8869
ENSG00000249884	32.16	30.28	34.04	25.68	28.15	28.73	0.03171328500422	100526767
ENSG00000115561	34.55	32.98	36.92	27.58	30.0	30.97	0.0254902484400203	51652
ENSG00000135956	13.55	13.64	13.38	12.17	12.65	12.83	0.0099684481728424	55654
ENSG00000114988	10.73	9.915	11.2	7.637	9.215	9.243	0.042034687335705	81562
ENSG00000168763	1.435	1.752	1.68	1.288	1.294	1.401	0.0455402851823056	26505
ENSG00000075568	15.16	14.49	15.17	11.8	11.96	12.04	0.0002180364586334	23505
ENSG00000144214	0.1848	0.3064	0.1868	0.3269	0.3848	0.3556	0.0407232216480846	129530
ENSG00000204634	4.865	5.178	6.184	3.694	4.086	4.299	0.0337135392621634	11138
ENSG00000175874	1.682	2.2	2.437	1.164	1.328	1.21	0.0187386217393955	200407
