converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3	p_value
ENSG00000255974	0.07426	0.07836	0.05256	0.0	0.0	0.01429	0.0024018698723070483
ENSG00000291083	4.246	3.889	3.531	2.732	2.142	1.591	0.01116480279757295
ENSG00000105409	0.1962	0.1506	0.1515	0.08033	0.08002	0.07553	0.004448315542054328
ENSG00000028277	0.7535	0.5893	0.7381	1.166	1.094	1.238	0.0021164339795783534
ENSG00000105722	25.78	33.04	30.12	22.5	20.51	23.14	0.027991292596034466
ENSG00000234465	0.7778	0.5311	0.842	0.3605	0.2052	0.3875	0.022486824118936734
ENSG00000167378	4.81	5.288	4.866	5.325	5.537	5.725	0.046539224148207096
ENSG00000011422	9.454	8.635	7.606	14.2	12.18	13.42	0.00408962097322485
ENSG00000186026	1.183	1.162	1.145	1.239	1.479	1.366	0.04777795290438394
ENSG00000216588	0.03647	0.07697	0.1032	0.02053	0.02045	0.0	0.046598880509240784
ENSG00000186567	4.363	5.31	4.323	6.09	5.871	6.191	0.01458876307673729
ENSG00000069399	2.681	3.605	2.78	5.39	4.041	4.66	0.026414517504166405
ENSG00000104856	2.184	2.548	1.709	4.756	3.932	3.175	0.025010829083174462
ENSG00000213889	0.5988	0.632	0.4553	0.4244	0.3731	0.3842	0.04072760112607636
ENSG00000177464	0.04506	0.04755	0.07442	0.0	0.01684	0.0	0.010238191283717746
ENSG00000204866	1.457	1.691	1.355	0.9986	1.146	1.014	0.015132252610951429
ENSG00000188293	1.846	1.24	1.307	3.307	2.541	3.877	0.01467857346544913
ENSG00000160007	10.01	9.728	9.794	9.023	8.321	9.021	0.013213708608108629
ENSG00000197405	0.9488	1.119	0.8099	0.6597	0.7197	0.5585	0.036167041346305474
ENSG00000105499	0.1138	0.2574	0.1726	0.3295	0.3829	0.3943	0.015352013721663883
ENSG00000269420	0.07489	0.07904	0.05301	0.3372	0.4199	0.3171	0.0008802689611910639
ENSG00000105516	2.507	2.488	2.624	1.52	1.538	1.567	2.37671980873201e-05
ENSG00000142233	0.2772	0.2926	0.3623	0.168	0.09566	0.156	0.007710871878130893
ENSG00000176920	4.511	4.606	4.857	5.976	5.318	6.098	0.012379447047306374
ENSG00000087074	47.77	50.93	45.58	62.67	63.26	55.6	0.012980269014604083
ENSG00000235191	32.62	34.26	34.84	38.25	38.44	35.86	0.027418045487995674
ENSG00000167759	1.379	1.264	1.474	1.817	1.664	2.084	0.024336271285048523
ENSG00000105568	20.59	18.43	19.04	24.18	21.1	22.5	0.041958210518877465
ENSG00000204604	4.133	4.477	5.25	3.543	3.714	3.16	0.03576562681921842
ENSG00000170949	5.962	6.301	6.604	5.414	5.888	5.508	0.04351698319778724
ENSG00000088053	0.02883	0.0	0.02041	0.06491	0.06466	0.03329	0.049009491323328304
